fips,Mean_2019,Mean_2020,Mean_difference
17007,1.912989618,1.957047038,0.04405742
17009,0.490399829,0.468918975,-0.021480854
17011,0.623012746,0.592157595,-0.030855151
17013,0.454824311,0.39453889,-0.060285421
17015,0.613258955,0.563243992,-0.050014963
17017,0.480769899,0.470154311,-0.010615588
17019,1.88206747,2.227254053,0.345186583
17021,0.696238156,0.752172176,0.05593402
17023,0.558876792,0.605054589,0.046177797
17025,0.645995802,0.609456521,-0.036539281
17027,1.297509864,1.296258255,-0.001251609
17029,0.965605548,1.095107113,0.129501565
17031,19.20558604,21.74043608,2.53485004
17033,0.815318647,0.878559991,0.063241344
17035,0.506460114,0.508470931,0.002010817
17037,1.598764179,1.644045162,0.045280983
17039,0.643778397,0.700224172,0.056445775
17041,0.668995101,0.77140805,0.102412949
17043,20.4758542,21.99973258,1.52387838
17045,0.473637343,0.476394577,0.002757234
17047,0.571156646,0.522046432,-0.049110214
17049,1.537567636,1.585092007,0.047524371
17051,0.578324089,0.536978806,-0.041345283
17053,0.501023542,0.534342484,0.033318942
17055,1.193043319,1.192095715,-0.000947604
17057,0.469578067,0.461362013,-0.008216054
17059,0.508297889,0.450952476,-0.057345413
17061,0.422366341,0.379486683,-0.042879658
17063,2.05934917,2.00969623,-0.04965294
17065,0.590821525,0.553518394,-0.037303131
17067,0.434937118,0.401764022,-0.033173096
17069,0.484539497,0.472526695,-0.012012802
17071,0.445238208,0.406102843,-0.039135365
17073,0.848511022,0.800685927,-0.047825095
17075,0.485699605,0.485858061,0.000158456
17077,1.144375766,1.150699834,0.006324068
17079,0.502655993,0.483571305,-0.019084688
17081,1.185345391,1.215613369,0.030267978
17083,0.788983888,0.741750356,-0.047233532
17085,0.58148221,0.510864837,-0.070617373
17087,0.583532239,0.54416808,-0.039364159
